UserID,Age,Email,Pays,Produit,Catégorie,Prix,DateAchat
CUST0000,38,user0@hotmail.com,Canada,PRD014,Alimentation,89.26,2023-09-22
CUST0001,-1,user1@gmail.com,Canada,PRD011,Mode,42.3,
CUST0002,58,user2@gmail.com,Belgique,PRD029,Alimentation,56.57,2023-06-10
CUST0003,50,user3@hotmail.com,USA,PRD015,Alimentation,48.55,
CUST0004,26,user4@yaho.com,Canada,PRD023,Électronique,68.04,2023-03-30
CUST0005,26,user5@gmail.com,France,PRD018,Sport,75.49,2023-05-22
CUST0006,21,user6@hotmail.com,USA,PRD007,Mode,55.16,2023-07-22
CUST0007,65,user7@gmail.com,USA,PRD020,Électronique,59.38,
CUST0008,50,user8@,USA,PRD016,Sport,37.59,2023-08-15
CUST0009,56,user9@yaho.com,,PRD022,Électronique,58.73,2023-08-10
CUST0010,19,user10@,Canada,PRD004,Électronique,53.26,2023-02-10
CUST0011,-1,user11@yaho.com,Belgique,PRD021,Alimentation,31.76,2023-07-15
CUST0012,63,user12@hotmail.com,USA,PRD015,Sport,49.72,2023-03-09
CUST0013,29,user13@yaho.com,USA,PRD005,Mode,42.34,2023-09-21
CUST0014,27,user14@yaho.com,France,PRD007,Mode,37.81,2023-01-02
CUST0015,28,user15@hotmail.com,France,PRD024,Sport,27.07,2023-05-05
CUST0016,34,user16@yaho.com,Belgique,PRD017,Alimentation,51.25,2023-04-20
CUST0017,46,user17@gmail.com,USA,PRD024,Maison,34.39,2023-03-27
CUST0018,41,user18@hotmail.com,USA,PRD011,Électronique,40.58,2023-04-30
CUST0019,33,user19@hotmail.com,France,PRD014,Alimentation,71.5,2023-05-07
CUST0020,51,user20@hotmail.com,Canada,PRD026,Sport,62.64,2023-09-12
CUST0021,25,user21@,Belgique,PRD025,Électronique,30.42,2023-07-02
CUST0022,33,user22@,USA,PRD008,Mode,57.04,2023-01-16
CUST0023,38,user23@yaho.com,USA,PRD012,Maison,52.66,2023-03-03
CUST0024,42,user24@hotmail.com,USA,PRD025,Mode,84.03,2023-06-07
CUST0025,60,user25@yaho.com,Belgique,PRD014,Sport,77.66,2023-09-25
CUST0026,28,user26@gmail.com,Belgique,PRD009,Électronique,19.33,2023-02-04
CUST0027,46,user27@hotmail.com,France,PRD015,Sport,67.22,2023-09-24
CUST0028,50,user28@gmail.com,France,PRD006,Électronique,75.3,2023-03-05
CUST0029,20,user29@yaho.com,USA,PRD016,Alimentation,61.19,2023-02-19
CUST0030,51,user30@,USA,PRD022,Maison,43.29,2023-09-12
CUST0031,27,user31@yaho.com,USA,PRD025,Alimentation,98.27,2023-05-29
CUST0032,21,user32@gmail.com,USA,PRD020,Alimentation,63.03,
CUST0033,69,user33@hotmail.com,Canada,PRD021,Sport,89.53,2023-10-03
CUST0034,-1,user34@yaho.com,,PRD025,Maison,77.03,2023-06-21
CUST0035,62,user35@hotmail.com,USA,PRD006,Électronique,59.28,2023-07-20
CUST0036,34,user36@,USA,PRD013,Électronique,-10.0,2023-02-04
CUST0037,23,user37@,France,PRD014,Mode,49.52,2023-08-04
CUST0038,55,user38@,Belgique,PRD020,Électronique,45.56,2023-03-06
CUST0039,42,user39@hotmail.com,France,PRD006,Sport,25.71,2023-01-08
CUST0040,24,user40@yaho.com,USA,PRD008,Alimentation,63.01,
CUST0041,45,user41@hotmail.com,Canada,PRD018,Alimentation,81.35,2023-03-17
CUST0042,19,user42@hotmail.com,France,PRD015,Alimentation,44.03,2023-06-23
CUST0043,67,user43@yaho.com,Canada,PRD007,Maison,93.27,2023-02-16
CUST0044,32,user44@,Canada,PRD017,Électronique,-10.0,2023-01-15
CUST0045,54,user45@,Belgique,PRD026,Sport,71.09,2023-05-27
CUST0046,35,user46@yaho.com,France,PRD022,Maison,83.43,2023-01-26
CUST0047,46,user47@hotmail.com,Canada,PRD028,Mode,45.92,
CUST0048,47,user48@hotmail.com,Canada,PRD017,Sport,46.28,2023-04-03
CUST0049,28,user49@,,PRD029,Sport,70.86,2023-08-20
