UserID,Age,Email,Pays,Produit,Catégorie,Prix,DateAchat,EmailValide
CUST0000,38,user0@hotmail.com,Canada,PRD014,Alimentation,89.26,2023-09-22,True
CUST0002,58,user2@gmail.com,Belgique,PRD029,Alimentation,56.57,2023-06-10,True
CUST0003,50,user3@hotmail.com,USA,PRD015,Alimentation,48.55,,True
CUST0004,26,user4@yaho.com,Canada,PRD023,Électronique,68.04,2023-03-30,True
CUST0005,26,user5@gmail.com,France,PRD018,Sport,75.49,2023-05-22,True
CUST0006,21,user6@hotmail.com,USA,PRD007,Mode,55.16,2023-07-22,True
CUST0007,65,user7@gmail.com,USA,PRD020,Électronique,59.38,,True
CUST0009,56,user9@yaho.com,,PRD022,Électronique,58.73,2023-08-10,True
CUST0012,63,user12@hotmail.com,USA,PRD015,Sport,49.72,2023-03-09,True
CUST0013,29,user13@yaho.com,USA,PRD005,Mode,42.34,2023-09-21,True
CUST0014,27,user14@yaho.com,France,PRD007,Mode,37.81,2023-01-02,True
CUST0015,28,user15@hotmail.com,France,PRD024,Sport,27.07,2023-05-05,True
CUST0016,34,user16@yaho.com,Belgique,PRD017,Alimentation,51.25,2023-04-20,True
CUST0017,46,user17@gmail.com,USA,PRD024,Maison,34.39,2023-03-27,True
CUST0018,41,user18@hotmail.com,USA,PRD011,Électronique,40.58,2023-04-30,True
CUST0019,33,user19@hotmail.com,France,PRD014,Alimentation,71.5,2023-05-07,True
CUST0020,51,user20@hotmail.com,Canada,PRD026,Sport,62.64,2023-09-12,True
CUST0023,38,user23@yaho.com,USA,PRD012,Maison,52.66,2023-03-03,True
CUST0024,42,user24@hotmail.com,USA,PRD025,Mode,84.03,2023-06-07,True
CUST0025,60,user25@yaho.com,Belgique,PRD014,Sport,77.66,2023-09-25,True
CUST0026,28,user26@gmail.com,Belgique,PRD009,Électronique,19.33,2023-02-04,True
CUST0027,46,user27@hotmail.com,France,PRD015,Sport,67.22,2023-09-24,True
CUST0028,50,user28@gmail.com,France,PRD006,Électronique,75.3,2023-03-05,True
CUST0029,20,user29@yaho.com,USA,PRD016,Alimentation,61.19,2023-02-19,True
CUST0031,27,user31@yaho.com,USA,PRD025,Alimentation,98.27,2023-05-29,True
CUST0032,21,user32@gmail.com,USA,PRD020,Alimentation,63.03,,True
CUST0033,69,user33@hotmail.com,Canada,PRD021,Sport,89.53,2023-10-03,True
CUST0035,62,user35@hotmail.com,USA,PRD006,Électronique,59.28,2023-07-20,True
CUST0039,42,user39@hotmail.com,France,PRD006,Sport,25.71,2023-01-08,True
CUST0040,24,user40@yaho.com,USA,PRD008,Alimentation,63.01,,True
CUST0041,45,user41@hotmail.com,Canada,PRD018,Alimentation,81.35,2023-03-17,True
CUST0042,19,user42@hotmail.com,France,PRD015,Alimentation,44.03,2023-06-23,True
CUST0043,67,user43@yaho.com,Canada,PRD007,Maison,93.27,2023-02-16,True
CUST0046,35,user46@yaho.com,France,PRD022,Maison,83.43,2023-01-26,True
CUST0047,46,user47@hotmail.com,Canada,PRD028,Mode,45.92,,True
CUST0048,47,user48@hotmail.com,Canada,PRD017,Sport,46.28,2023-04-03,True
CUST0051,60,user51@gmail.com,USA,PRD006,Alimentation,10.05,,True
CUST0053,66,user53@hotmail.com,Canada,PRD017,Électronique,49.73,2023-10-03,True
CUST0054,50,user54@hotmail.com,USA,PRD026,Sport,22.61,2023-06-06,True
CUST0056,22,user56@gmail.com,France,PRD006,Sport,23.11,2023-05-12,True
CUST0060,39,user60@yaho.com,,PRD002,Électronique,48.16,2023-03-17,True
CUST0061,32,user61@gmail.com,France,PRD011,Électronique,60.06,2023-03-08,True
CUST0062,63,user62@gmail.com,France,PRD027,Maison,57.67,2023-07-13,True
CUST0063,37,user63@yaho.com,France,PRD012,Alimentation,70.63,2023-06-11,True
CUST0064,33,user64@yaho.com,Belgique,PRD001,Sport,67.48,2023-09-14,True
CUST0065,47,user65@gmail.com,Canada,PRD002,Alimentation,65.36,2023-03-13,True
CUST0066,25,user66@yaho.com,Belgique,PRD004,Maison,112.1,2023-03-28,True
CUST0068,22,user68@hotmail.com,USA,PRD007,Alimentation,101.87,2023-08-02,True
CUST0070,60,user70@gmail.com,Canada,PRD022,Électronique,48.34,2023-07-29,True
CUST0071,28,user71@yaho.com,,PRD022,Sport,42.54,2023-03-02,True
CUST0072,18,user72@hotmail.com,Belgique,PRD011,Maison,80.19,2023-09-25,True
CUST0073,62,user73@gmail.com,Canada,PRD006,Mode,82.81,2023-09-19,True
CUST0074,56,user74@yaho.com,USA,PRD014,Électronique,62.0,2023-08-06,True
CUST0075,57,user75@hotmail.com,USA,PRD023,Mode,72.67,2023-10-10,True
CUST0076,60,user76@hotmail.com,France,PRD016,Électronique,24.46,2023-05-16,True
CUST0077,22,user77@yaho.com,USA,PRD003,Sport,19.02,2023-04-03,True
CUST0078,37,user78@hotmail.com,Belgique,PRD028,Sport,74.93,2023-04-19,True
CUST0079,24,user79@gmail.com,France,PRD021,Alimentation,47.46,2023-08-29,True
CUST0080,65,user80@yaho.com,Belgique,PRD024,Mode,64.99,2023-05-22,True
CUST0082,36,user82@gmail.com,Belgique,PRD017,Sport,83.14,2023-08-25,True
CUST0083,21,user83@gmail.com,Belgique,PRD000,Maison,19.19,,True
CUST0084,35,user84@yaho.com,Canada,PRD015,Sport,22.29,2023-06-26,True
CUST0085,35,user85@yaho.com,France,PRD012,Maison,78.89,2023-05-21,True
CUST0087,52,user87@gmail.com,France,PRD011,Sport,57.57,2023-02-18,True
CUST0088,66,user88@hotmail.com,France,PRD029,Sport,47.85,,True
CUST0089,43,user89@gmail.com,France,PRD001,Électronique,35.28,2023-07-09,True
CUST0090,24,user90@gmail.com,France,PRD022,Sport,46.0,2023-05-16,True
CUST0092,59,user92@gmail.com,France,PRD009,Sport,80.85,2023-03-31,True
CUST0093,48,user93@hotmail.com,Belgique,PRD001,Mode,86.09,2023-10-22,True
CUST0094,60,user94@hotmail.com,USA,PRD029,Alimentation,36.29,2023-09-02,True
CUST0096,46,user96@hotmail.com,Canada,PRD022,Mode,23.5,,True
CUST0097,41,user97@yaho.com,France,PRD012,Électronique,71.46,2023-04-16,True
CUST0099,23,user99@hotmail.com,France,PRD017,Alimentation,44.09,2023-08-21,True
CUST0100,19,user100@hotmail.com,France,PRD002,Alimentation,50.34,2023-09-22,True
CUST0101,52,user101@yaho.com,France,PRD026,Électronique,48.12,2023-02-06,True
CUST0103,45,user103@yaho.com,France,PRD013,Maison,80.92,2023-02-10,True
CUST0106,40,user106@gmail.com,France,PRD029,Sport,46.99,,True
CUST0107,59,user107@hotmail.com,Belgique,PRD016,Mode,69.91,2023-02-28,True
CUST0108,30,user108@hotmail.com,Canada,PRD028,Alimentation,38.17,2023-07-02,True
CUST0109,22,user109@gmail.com,Canada,PRD029,Sport,10.96,2023-02-10,True
CUST0110,33,user110@yaho.com,France,PRD020,Alimentation,32.26,2023-02-08,True
CUST0111,26,user111@gmail.com,,PRD011,Sport,58.48,2023-07-11,True
CUST0112,68,user112@hotmail.com,Canada,PRD024,Mode,93.8,2023-09-24,True
CUST0113,62,user113@hotmail.com,France,PRD015,Électronique,24.8,2023-05-27,True
CUST0114,52,user114@gmail.com,USA,PRD023,Mode,24.07,2023-05-07,True
CUST0115,65,user115@gmail.com,USA,PRD011,Électronique,19.75,2023-02-15,True
CUST0116,61,user116@gmail.com,France,PRD014,Électronique,17.27,2023-02-14,True
CUST0117,28,user117@hotmail.com,France,PRD024,Alimentation,74.11,2023-01-01,True
CUST0118,66,user118@gmail.com,USA,PRD009,Mode,79.89,2023-06-17,True
CUST0119,47,user119@gmail.com,,PRD029,Sport,53.56,2023-04-18,True
CUST0120,62,user120@yaho.com,France,PRD024,Mode,40.65,2023-01-19,True
CUST0121,67,user121@gmail.com,France,PRD006,Alimentation,85.82,2023-03-13,True
CUST0122,35,user122@hotmail.com,Belgique,PRD019,Électronique,53.48,2023-04-19,True
CUST0123,24,user123@yaho.com,Belgique,PRD004,Alimentation,71.79,2023-09-25,True
CUST0125,41,user125@hotmail.com,Belgique,PRD029,Maison,50.88,,True
CUST0126,62,user126@hotmail.com,Belgique,PRD016,Sport,25.25,2023-03-31,True
CUST0128,18,user128@hotmail.com,France,PRD012,Sport,53.82,2023-09-07,True
CUST0131,30,user131@hotmail.com,USA,PRD029,Sport,82.32,2023-06-23,True
CUST0132,24,user132@gmail.com,Canada,PRD017,Maison,89.43,2023-06-07,True
CUST0133,36,user133@gmail.com,Canada,PRD003,Électronique,45.74,2023-08-03,True
CUST0135,35,user135@yaho.com,Belgique,PRD029,Sport,58.0,2023-06-24,True
CUST0141,31,user141@gmail.com,Belgique,PRD013,Mode,60.11,2023-08-27,True
CUST0143,34,user143@yaho.com,Belgique,PRD008,Sport,33.8,2023-04-23,True
CUST0144,33,user144@gmail.com,France,PRD014,Maison,40.83,2023-08-13,True
CUST0145,20,user145@hotmail.com,USA,PRD016,Électronique,38.12,2023-08-31,True
CUST0146,51,user146@hotmail.com,Canada,PRD024,Maison,47.94,2023-05-23,True
CUST0147,45,user147@hotmail.com,Canada,PRD023,Électronique,49.46,2023-02-10,True
CUST0151,31,user151@hotmail.com,Canada,PRD025,Mode,60.14,2023-07-21,True
CUST0152,25,user152@yaho.com,Canada,PRD004,Mode,53.97,,True
CUST0155,31,user155@gmail.com,France,PRD010,Sport,65.03,2023-02-20,True
CUST0157,59,user157@gmail.com,Belgique,PRD005,Mode,86.31,2023-07-20,True
CUST0158,31,user158@gmail.com,Canada,PRD006,Mode,30.2,2023-02-08,True
